Plant ID,year,Plant name (English),technology,total_capacity,production,emissions
P100000120068,2020,Wuhu Xinxing Ductile Iron Pipes Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120068,2021,Wuhu Xinxing Ductile Iron Pipes Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120068,2022,Wuhu Xinxing Ductile Iron Pipes Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120068,2023,Wuhu Xinxing Ductile Iron Pipes Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120068,2024,Wuhu Xinxing Ductile Iron Pipes Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120068,2025,Wuhu Xinxing Ductile Iron Pipes Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120068,2026,Wuhu Xinxing Ductile Iron Pipes Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120068,2027,Wuhu Xinxing Ductile Iron Pipes Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120068,2028,Wuhu Xinxing Ductile Iron Pipes Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120068,2029,Wuhu Xinxing Ductile Iron Pipes Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120068,2030,Wuhu Xinxing Ductile Iron Pipes Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120069,2020,Maanshan Iron and Steel Co Ltd,BF-BOF,15480.0,12693.599999999999,26656.559999999998
P100000120069,2021,Maanshan Iron and Steel Co Ltd,BF-BOF,15480.0,12693.599999999999,26656.559999999998
P100000120069,2022,Maanshan Iron and Steel Co Ltd,BF-BOF,15480.0,12693.599999999999,26656.559999999998
P100000120069,2023,Maanshan Iron and Steel Co Ltd,BF-BOF,15480.0,12693.599999999999,26656.559999999998
P100000120069,2024,Maanshan Iron and Steel Co Ltd,BF-BOF,15480.0,12693.599999999999,26656.559999999998
P100000120069,2025,Maanshan Iron and Steel Co Ltd,BF-BOF,15480.0,12693.599999999999,26656.559999999998
P100000120069,2026,Maanshan Iron and Steel Co Ltd,BF-BOF,15480.0,12693.599999999999,26656.559999999998
P100000120069,2027,Maanshan Iron and Steel Co Ltd,BF-BOF,15480.0,12693.599999999999,26656.559999999998
P100000120069,2028,Maanshan Iron and Steel Co Ltd,BF-BOF,15480.0,12693.599999999999,26656.559999999998
P100000120069,2029,Maanshan Iron and Steel Co Ltd,BF-BOF,15480.0,12693.599999999999,26656.559999999998
P100000120069,2030,Maanshan Iron and Steel Co Ltd,BF-BOF,15480.0,12693.599999999999,26656.559999999998
P100000120070,2020,Anhui Changjiang Steel Co Ltd,BF-BOF,3800.0,3116.0,6543.6
P100000120070,2021,Anhui Changjiang Steel Co Ltd,BF-BOF,3800.0,3116.0,6543.6
P100000120070,2022,Anhui Changjiang Steel Co Ltd,BF-BOF,3800.0,3116.0,6543.6
P100000120070,2023,Anhui Changjiang Steel Co Ltd,BF-BOF,3800.0,3116.0,6543.6
P100000120070,2024,Anhui Changjiang Steel Co Ltd,BF-BOF,3800.0,3116.0,6543.6
P100000120070,2025,Anhui Changjiang Steel Co Ltd,BF-BOF,3800.0,3116.0,6543.6
P100000120070,2026,Anhui Changjiang Steel Co Ltd,BF-BOF,3800.0,3116.0,6543.6
P100000120070,2027,Anhui Changjiang Steel Co Ltd,BF-BOF,3800.0,3116.0,6543.6
P100000120070,2028,Anhui Changjiang Steel Co Ltd,BF-BOF,3800.0,3116.0,6543.6
P100000120070,2029,Anhui Changjiang Steel Co Ltd,BF-BOF,3800.0,3116.0,6543.6
P100000120070,2030,Anhui Changjiang Steel Co Ltd,BF-BOF,3800.0,3116.0,6543.6
P100000120071,2020,Anhui Guihang Special Steel Co Ltd,BF-BOF,2700.0,2214.0,4649.400000000001
P100000120071,2021,Anhui Guihang Special Steel Co Ltd,BF-BOF,2700.0,2214.0,4649.400000000001
P100000120071,2022,Anhui Guihang Special Steel Co Ltd,BF-BOF,2700.0,2214.0,4649.400000000001
P100000120071,2023,Anhui Guihang Special Steel Co Ltd,BF-BOF,2700.0,2214.0,4649.400000000001
P100000120071,2024,Anhui Guihang Special Steel Co Ltd,BF-BOF,2700.0,2214.0,4649.400000000001
P100000120071,2025,Anhui Guihang Special Steel Co Ltd,BF-BOF,2700.0,2214.0,4649.400000000001
P100000120071,2026,Anhui Guihang Special Steel Co Ltd,BF-BOF,2700.0,2214.0,4649.400000000001
P100000120071,2027,Anhui Guihang Special Steel Co Ltd,BF-BOF,2700.0,2214.0,4649.400000000001
P100000120071,2028,Anhui Guihang Special Steel Co Ltd,BF-BOF,2700.0,2214.0,4649.400000000001
P100000120071,2029,Anhui Guihang Special Steel Co Ltd,BF-BOF,2700.0,2214.0,4649.400000000001
P100000120071,2030,Anhui Guihang Special Steel Co Ltd,BF-BOF,2700.0,2214.0,4649.400000000001
P100000120072,2020,Tongling Fuxin Iron and Steel Co Ltd,BF-BOF,1350.0,1107.0,2324.7000000000003
P100000120072,2021,Tongling Fuxin Iron and Steel Co Ltd,BF-BOF,1350.0,1107.0,2324.7000000000003
P100000120072,2022,Tongling Fuxin Iron and Steel Co Ltd,BF-BOF,1350.0,1107.0,2324.7000000000003
P100000120072,2023,Tongling Fuxin Iron and Steel Co Ltd,BF-BOF,1350.0,1107.0,2324.7000000000003
P100000120072,2024,Tongling Fuxin Iron and Steel Co Ltd,BF-BOF,1350.0,1107.0,2324.7000000000003
P100000120072,2025,Tongling Fuxin Iron and Steel Co Ltd,BF-BOF,1350.0,1107.0,2324.7000000000003
P100000120072,2026,Tongling Fuxin Iron and Steel Co Ltd,BF-BOF,1350.0,1107.0,2324.7000000000003
P100000120072,2027,Tongling Fuxin Iron and Steel Co Ltd,BF-BOF,1350.0,1107.0,2324.7000000000003
P100000120072,2028,Tongling Fuxin Iron and Steel Co Ltd,BF-BOF,1350.0,1107.0,2324.7000000000003
P100000120072,2029,Tongling Fuxin Iron and Steel Co Ltd,BF-BOF,1350.0,1107.0,2324.7000000000003
P100000120072,2030,Tongling Fuxin Iron and Steel Co Ltd,BF-BOF,1350.0,1107.0,2324.7000000000003
P100000120073,2020,Wuhu Fuxin Iron and Steel Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120073,2021,Wuhu Fuxin Iron and Steel Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120073,2022,Wuhu Fuxin Iron and Steel Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120073,2023,Wuhu Fuxin Iron and Steel Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120073,2024,Wuhu Fuxin Iron and Steel Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120073,2025,Wuhu Fuxin Iron and Steel Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120073,2026,Wuhu Fuxin Iron and Steel Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120073,2027,Wuhu Fuxin Iron and Steel Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120073,2028,Wuhu Fuxin Iron and Steel Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120073,2029,Wuhu Fuxin Iron and Steel Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120073,2030,Wuhu Fuxin Iron and Steel Co Ltd,BF-BOF,2000.0,1640.0,3444.0
P100000120074,2020,Chongqing Iron and Steel Co Ltd,BF-BOF,8400.0,6888.0,14464.800000000001
P100000120074,2021,Chongqing Iron and Steel Co Ltd,BF-BOF,8400.0,6888.0,14464.800000000001
P100000120074,2022,Chongqing Iron and Steel Co Ltd,BF-BOF,8400.0,6888.0,14464.800000000001
P100000120074,2023,Chongqing Iron and Steel Co Ltd,BF-BOF,8400.0,6888.0,14464.800000000001
P100000120074,2024,Chongqing Iron and Steel Co Ltd,BF-BOF,8400.0,6888.0,14464.800000000001
P100000120074,2025,Chongqing Iron and Steel Co Ltd,BF-BOF,8400.0,6888.0,14464.800000000001
P100000120074,2026,Chongqing Iron and Steel Co Ltd,BF-BOF,8400.0,6888.0,14464.800000000001
P100000120074,2027,Chongqing Iron and Steel Co Ltd,BF-BOF,8400.0,6888.0,14464.800000000001
P100000120074,2028,Chongqing Iron and Steel Co Ltd,BF-BOF,8400.0,6888.0,14464.800000000001
P100000120074,2029,Chongqing Iron and Steel Co Ltd,BF-BOF,8400.0,6888.0,14464.800000000001
P100000120074,2030,Chongqing Iron and Steel Co Ltd,BF-BOF,8400.0,6888.0,14464.800000000001
P100000120075,2020,Sichuan Desheng Group Vanadium and Titanium Co Ltd,BF-BOF,3000.0,2460.0,5166.0
P100000120075,2021,Sichuan Desheng Group Vanadium and Titanium Co Ltd,BF-BOF,3000.0,2460.0,5166.0
P100000120075,2022,Sichuan Desheng Group Vanadium and Titanium Co Ltd,BF-BOF,3000.0,2460.0,5166.0
P100000120075,2023,Sichuan Desheng Group Vanadium and Titanium Co Ltd,BF-BOF,3000.0,2460.0,5166.0
P100000120075,2024,Sichuan Desheng Group Vanadium and Titanium Co Ltd,BF-BOF,3000.0,2460.0,5166.0
P100000120075,2025,Sichuan Desheng Group Vanadium and Titanium Co Ltd,BF-BOF,3000.0,2460.0,5166.0
P100000120075,2026,Sichuan Desheng Group Vanadium and Titanium Co Ltd,BF-BOF,3000.0,2460.0,5166.0
P100000120075,2027,Sichuan Desheng Group Vanadium and Titanium Co Ltd,BF-BOF,3000.0,2460.0,5166.0
P100000120075,2028,Sichuan Desheng Group Vanadium and Titanium Co Ltd,BF-BOF,3000.0,2460.0,5166.0
P100000120075,2029,Sichuan Desheng Group Vanadium and Titanium Co Ltd,BF-BOF,3000.0,2460.0,5166.0
P100000120075,2030,Sichuan Desheng Group Vanadium and Titanium Co Ltd,BF-BOF,3000.0,2460.0,5166.0
P100000120076,2020,Sansteel Minguang Co Ltd Fujian plant,BF-BOF,6799.0,5575.179999999999,11707.877999999999
P100000120076,2021,Sansteel Minguang Co Ltd Fujian plant,BF-BOF,6799.0,5575.179999999999,11707.877999999999
P100000120076,2022,Sansteel Minguang Co Ltd Fujian plant,BF-BOF,6799.0,5575.179999999999,11707.877999999999
P100000120076,2023,Sansteel Minguang Co Ltd Fujian plant,BF-BOF,6799.0,5575.179999999999,11707.877999999999
P100000120076,2024,Sansteel Minguang Co Ltd Fujian plant,BF-BOF,6799.0,5575.179999999999,11707.877999999999
P100000120076,2025,Sansteel Minguang Co Ltd Fujian plant,BF-BOF,6799.0,5575.179999999999,11707.877999999999
P100000120076,2026,Sansteel Minguang Co Ltd Fujian plant,BF-BOF,6799.0,5575.179999999999,11707.877999999999
P100000120076,2027,Sansteel Minguang Co Ltd Fujian plant,BF-BOF,6799.0,5575.179999999999,11707.877999999999
P100000120076,2028,Sansteel Minguang Co Ltd Fujian plant,BF-BOF,6799.0,5575.179999999999,11707.877999999999
P100000120076,2029,Sansteel Minguang Co Ltd Fujian plant,BF-BOF,6799.0,5575.179999999999,11707.877999999999
P100000120076,2030,Sansteel Minguang Co Ltd Fujian plant,BF-BOF,6799.0,5575.179999999999,11707.877999999999
P100000120077,2020,Fujian Quanzhou Minguang Iron and Steel Co Ltd,Unknown,0.0,0.0,0.0
P100000120077,2021,Fujian Quanzhou Minguang Iron and Steel Co Ltd,Unknown,0.0,0.0,0.0
P100000120077,2022,Fujian Quanzhou Minguang Iron and Steel Co Ltd,Unknown,0.0,0.0,0.0
P100000120077,2023,Fujian Quanzhou Minguang Iron and Steel Co Ltd,Unknown,0.0,0.0,0.0
P100000120077,2024,Fujian Quanzhou Minguang Iron and Steel Co Ltd,Unknown,0.0,0.0,0.0
P100000120077,2025,Fujian Quanzhou Minguang Iron and Steel Co Ltd,Unknown,0.0,0.0,0.0
P100000120077,2026,Fujian Quanzhou Minguang Iron and Steel Co Ltd,Unknown,0.0,0.0,0.0
P100000120077,2027,Fujian Quanzhou Minguang Iron and Steel Co Ltd,Unknown,0.0,0.0,0.0
P100000120077,2028,Fujian Quanzhou Minguang Iron and Steel Co Ltd,Unknown,0.0,0.0,0.0
P100000120077,2029,Fujian Quanzhou Minguang Iron and Steel Co Ltd,Unknown,0.0,0.0,0.0
P100000120077,2030,Fujian Quanzhou Minguang Iron and Steel Co Ltd,Unknown,0.0,0.0,0.0
P100000120078,2020,Fujian Sanbao Steel Co Ltd,BF-BOF,6196.0,5080.719999999999,10669.511999999999
P100000120078,2021,Fujian Sanbao Steel Co Ltd,BF-BOF,6196.0,5080.719999999999,10669.511999999999
P100000120078,2022,Fujian Sanbao Steel Co Ltd,BF-BOF,6196.0,5080.719999999999,10669.511999999999
P100000120078,2023,Fujian Sanbao Steel Co Ltd,BF-BOF,6196.0,5080.719999999999,10669.511999999999
P100000120078,2024,Fujian Sanbao Steel Co Ltd,BF-BOF,6196.0,5080.719999999999,10669.511999999999
P100000120078,2025,Fujian Sanbao Steel Co Ltd,BF-BOF,6196.0,5080.719999999999,10669.511999999999
P100000120078,2026,Fujian Sanbao Steel Co Ltd,BF-BOF,6196.0,5080.719999999999,10669.511999999999
P100000120078,2027,Fujian Sanbao Steel Co Ltd,BF-BOF,6196.0,5080.719999999999,10669.511999999999
P100000120078,2028,Fujian Sanbao Steel Co Ltd,BF-BOF,6196.0,5080.719999999999,10669.511999999999
P100000120078,2029,Fujian Sanbao Steel Co Ltd,BF-BOF,6196.0,5080.719999999999,10669.511999999999
P100000120078,2030,Fujian Sanbao Steel Co Ltd,BF-BOF,6196.0,5080.719999999999,10669.511999999999
P100000120080,2020,Fujian Luoyuan Minguang Iron and Steel Co Ltd,BF-BOF,2650.0,2173.0,4563.3
P100000120080,2021,Fujian Luoyuan Minguang Iron and Steel Co Ltd,BF-BOF,2650.0,2173.0,4563.3
P100000120080,2022,Fujian Luoyuan Minguang Iron and Steel Co Ltd,BF-BOF,2650.0,2173.0,4563.3
P100000120080,2023,Fujian Luoyuan Minguang Iron and Steel Co Ltd,BF-BOF,2650.0,2173.0,4563.3
P100000120080,2024,Fujian Luoyuan Minguang Iron and Steel Co Ltd,BF-BOF,2650.0,2173.0,4563.3
P100000120080,2025,Fujian Luoyuan Minguang Iron and Steel Co Ltd,BF-BOF,2650.0,2173.0,4563.3
P100000120080,2026,Fujian Luoyuan Minguang Iron and Steel Co Ltd,BF-BOF,2650.0,2173.0,4563.3
P100000120080,2027,Fujian Luoyuan Minguang Iron and Steel Co Ltd,BF-BOF,2650.0,2173.0,4563.3
P100000120080,2028,Fujian Luoyuan Minguang Iron and Steel Co Ltd,BF-BOF,2650.0,2173.0,4563.3
P100000120080,2029,Fujian Luoyuan Minguang Iron and Steel Co Ltd,BF-BOF,2650.0,2173.0,4563.3
P100000120080,2030,Fujian Luoyuan Minguang Iron and Steel Co Ltd,BF-BOF,2650.0,2173.0,4563.3
P100000120081,2020,Fujian Tsingtuo Nickel Industry Co Ltd,EAF,3000.0,2190.0,1095.0
P100000120081,2021,Fujian Tsingtuo Nickel Industry Co Ltd,EAF,3000.0,2190.0,1095.0
P100000120081,2022,Fujian Tsingtuo Nickel Industry Co Ltd,EAF,3000.0,2190.0,1095.0
P100000120081,2023,Fujian Tsingtuo Nickel Industry Co Ltd,EAF,3000.0,2190.0,1095.0
P100000120081,2024,Fujian Tsingtuo Nickel Industry Co Ltd,EAF,3000.0,2190.0,1095.0
P100000120081,2025,Fujian Tsingtuo Nickel Industry Co Ltd,EAF,3000.0,2190.0,1095.0
P100000120081,2026,Fujian Tsingtuo Nickel Industry Co Ltd,EAF,3000.0,2190.0,1095.0
P100000120081,2027,Fujian Tsingtuo Nickel Industry Co Ltd,EAF,3000.0,2190.0,1095.0
P100000120081,2028,Fujian Tsingtuo Nickel Industry Co Ltd,EAF,3000.0,2190.0,1095.0
P100000120081,2029,Fujian Tsingtuo Nickel Industry Co Ltd,EAF,3000.0,2190.0,1095.0
P100000120081,2030,Fujian Tsingtuo Nickel Industry Co Ltd,EAF,3000.0,2190.0,1095.0
P100000120082,2020,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,BF-BOF,4734.0,3881.8799999999997,8151.947999999999
P100000120082,2021,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,BF-BOF,4734.0,3881.8799999999997,8151.947999999999
P100000120082,2022,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,BF-BOF,4734.0,3881.8799999999997,8151.947999999999
P100000120082,2023,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,BF-BOF,4734.0,3881.8799999999997,8151.947999999999
P100000120082,2024,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,BF-BOF,4734.0,3881.8799999999997,8151.947999999999
P100000120082,2025,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,BF-BOF,4734.0,3881.8799999999997,8151.947999999999
P100000120082,2026,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,BF-BOF,4734.0,3881.8799999999997,8151.947999999999
P100000120082,2027,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,BF-BOF,4734.0,3881.8799999999997,8151.947999999999
P100000120082,2028,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,BF-BOF,4734.0,3881.8799999999997,8151.947999999999
P100000120082,2029,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,BF-BOF,4734.0,3881.8799999999997,8151.947999999999
P100000120082,2030,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,BF-BOF,4734.0,3881.8799999999997,8151.947999999999
P100000120083,2020,Jiugang Group Yuzhong Iron and Steel Co Ltd,BF-BOF,4000.0,3280.0,6888.0
P100000120083,2021,Jiugang Group Yuzhong Iron and Steel Co Ltd,BF-BOF,4000.0,3280.0,6888.0
P100000120083,2022,Jiugang Group Yuzhong Iron and Steel Co Ltd,BF-BOF,4000.0,3280.0,6888.0
P100000120083,2023,Jiugang Group Yuzhong Iron and Steel Co Ltd,BF-BOF,4000.0,3280.0,6888.0
P100000120083,2024,Jiugang Group Yuzhong Iron and Steel Co Ltd,BF-BOF,4000.0,3280.0,6888.0
P100000120083,2025,Jiugang Group Yuzhong Iron and Steel Co Ltd,BF-BOF,4000.0,3280.0,6888.0
P100000120083,2026,Jiugang Group Yuzhong Iron and Steel Co Ltd,BF-BOF,4000.0,3280.0,6888.0
P100000120083,2027,Jiugang Group Yuzhong Iron and Steel Co Ltd,BF-BOF,4000.0,3280.0,6888.0
P100000120083,2028,Jiugang Group Yuzhong Iron and Steel Co Ltd,BF-BOF,4000.0,3280.0,6888.0
P100000120083,2029,Jiugang Group Yuzhong Iron and Steel Co Ltd,BF-BOF,4000.0,3280.0,6888.0
P100000120083,2030,Jiugang Group Yuzhong Iron and Steel Co Ltd,BF-BOF,4000.0,3280.0,6888.0
P100000120084,2020,SGIS Songshan Co Ltd,BF-BOF,8698.0,7132.36,14977.956
P100000120084,2021,SGIS Songshan Co Ltd,BF-BOF,8698.0,7132.36,14977.956
P100000120084,2022,SGIS Songshan Co Ltd,BF-BOF,8698.0,7132.36,14977.956
P100000120084,2023,SGIS Songshan Co Ltd,BF-BOF,8698.0,7132.36,14977.956
P100000120084,2024,SGIS Songshan Co Ltd,BF-BOF,8698.0,7132.36,14977.956
P100000120084,2025,SGIS Songshan Co Ltd,BF-BOF,8698.0,7132.36,14977.956
P100000120084,2026,SGIS Songshan Co Ltd,BF-BOF,8698.0,7132.36,14977.956
P100000120084,2027,SGIS Songshan Co Ltd,BF-BOF,8698.0,7132.36,14977.956
P100000120084,2028,SGIS Songshan Co Ltd,BF-BOF,8698.0,7132.36,14977.956
P100000120084,2029,SGIS Songshan Co Ltd,BF-BOF,8698.0,7132.36,14977.956
P100000120084,2030,SGIS Songshan Co Ltd,BF-BOF,8698.0,7132.36,14977.956
P100000120085,2020,Baosteel Zhanjiang Iron and Steel Co Ltd,BF-BOF,12528.0,10272.96,21573.216
P100000120085,2021,Baosteel Zhanjiang Iron and Steel Co Ltd,BF-BOF,12528.0,10272.96,21573.216
P100000120085,2022,Baosteel Zhanjiang Iron and Steel Co Ltd,BF-BOF,12528.0,10272.96,21573.216
P100000120085,2023,Baosteel Zhanjiang Iron and Steel Co Ltd,BF-BOF,12528.0,10272.96,21573.216
P100000120085,2024,Baosteel Zhanjiang Iron and Steel Co Ltd,BF-BOF,12528.0,10272.96,21573.216
P100000120085,2025,Baosteel Zhanjiang Iron and Steel Co Ltd,BF-BOF,12528.0,10272.96,21573.216
P100000120085,2026,Baosteel Zhanjiang Iron and Steel Co Ltd,BF-BOF,12528.0,10272.96,21573.216
P100000120085,2027,Baosteel Zhanjiang Iron and Steel Co Ltd,BF-BOF,12528.0,10272.96,21573.216
P100000120085,2028,Baosteel Zhanjiang Iron and Steel Co Ltd,BF-BOF,12528.0,10272.96,21573.216
P100000120085,2029,Baosteel Zhanjiang Iron and Steel Co Ltd,BF-BOF,12528.0,10272.96,21573.216
P100000120085,2030,Baosteel Zhanjiang Iron and Steel Co Ltd,BF-BOF,12528.0,10272.96,21573.216
P100000120086,2020,Zhuhai Yueyufeng Iron and Steel Co Ltd,BF-BOF,3051.0,2501.8199999999997,5253.821999999999
P100000120086,2021,Zhuhai Yueyufeng Iron and Steel Co Ltd,BF-BOF,3051.0,2501.8199999999997,5253.821999999999
P100000120086,2022,Zhuhai Yueyufeng Iron and Steel Co Ltd,BF-BOF,3051.0,2501.8199999999997,5253.821999999999
P100000120086,2023,Zhuhai Yueyufeng Iron and Steel Co Ltd,BF-BOF,3051.0,2501.8199999999997,5253.821999999999
P100000120086,2024,Zhuhai Yueyufeng Iron and Steel Co Ltd,BF-BOF,3051.0,2501.8199999999997,5253.821999999999
P100000120086,2025,Zhuhai Yueyufeng Iron and Steel Co Ltd,BF-BOF,3051.0,2501.8199999999997,5253.821999999999
P100000120086,2026,Zhuhai Yueyufeng Iron and Steel Co Ltd,BF-BOF,3051.0,2501.8199999999997,5253.821999999999
P100000120086,2027,Zhuhai Yueyufeng Iron and Steel Co Ltd,BF-BOF,3051.0,2501.8199999999997,5253.821999999999
P100000120086,2028,Zhuhai Yueyufeng Iron and Steel Co Ltd,BF-BOF,3051.0,2501.8199999999997,5253.821999999999
P100000120086,2029,Zhuhai Yueyufeng Iron and Steel Co Ltd,BF-BOF,3051.0,2501.8199999999997,5253.821999999999
P100000120086,2030,Zhuhai Yueyufeng Iron and Steel Co Ltd,BF-BOF,3051.0,2501.8199999999997,5253.821999999999
P100000120087,2020,Guangdong Guangqing Metal Technology Co Ltd,EAF,2000.0,1460.0,730.0
P100000120087,2021,Guangdong Guangqing Metal Technology Co Ltd,EAF,2000.0,1460.0,730.0
P100000120087,2022,Guangdong Guangqing Metal Technology Co Ltd,EAF,2000.0,1460.0,730.0
P100000120087,2023,Guangdong Guangqing Metal Technology Co Ltd,EAF,2000.0,1460.0,730.0
P100000120087,2024,Guangdong Guangqing Metal Technology Co Ltd,EAF,2000.0,1460.0,730.0
P100000120087,2025,Guangdong Guangqing Metal Technology Co Ltd,EAF,2000.0,1460.0,730.0
P100000120087,2026,Guangdong Guangqing Metal Technology Co Ltd,EAF,2000.0,1460.0,730.0
P100000120087,2027,Guangdong Guangqing Metal Technology Co Ltd,EAF,2000.0,1460.0,730.0
P100000120087,2028,Guangdong Guangqing Metal Technology Co Ltd,EAF,2000.0,1460.0,730.0
P100000120087,2029,Guangdong Guangqing Metal Technology Co Ltd,EAF,2000.0,1460.0,730.0
P100000120087,2030,Guangdong Guangqing Metal Technology Co Ltd,EAF,2000.0,1460.0,730.0
P100000120088,2020,Yangchun New Steel Co Ltd,BF-BOF,2400.0,1967.9999999999998,4132.799999999999
P100000120088,2021,Yangchun New Steel Co Ltd,BF-BOF,2400.0,1967.9999999999998,4132.799999999999
P100000120088,2022,Yangchun New Steel Co Ltd,BF-BOF,2400.0,1967.9999999999998,4132.799999999999
P100000120088,2023,Yangchun New Steel Co Ltd,BF-BOF,2400.0,1967.9999999999998,4132.799999999999
P100000120088,2024,Yangchun New Steel Co Ltd,BF-BOF,2400.0,1967.9999999999998,4132.799999999999
P100000120088,2025,Yangchun New Steel Co Ltd,BF-BOF,2400.0,1967.9999999999998,4132.799999999999
P100000120088,2026,Yangchun New Steel Co Ltd,BF-BOF,2400.0,1967.9999999999998,4132.799999999999
P100000120088,2027,Yangchun New Steel Co Ltd,BF-BOF,2400.0,1967.9999999999998,4132.799999999999
P100000120088,2028,Yangchun New Steel Co Ltd,BF-BOF,2400.0,1967.9999999999998,4132.799999999999
P100000120088,2029,Yangchun New Steel Co Ltd,BF-BOF,2400.0,1967.9999999999998,4132.799999999999
P100000120088,2030,Yangchun New Steel Co Ltd,BF-BOF,2400.0,1967.9999999999998,4132.799999999999
P100000120089,2020,Angang Lianzhong Stainless Steel Co Ltd,EAF,1900.0,1387.0,693.5
P100000120089,2021,Angang Lianzhong Stainless Steel Co Ltd,EAF,1900.0,1387.0,693.5
P100000120089,2022,Angang Lianzhong Stainless Steel Co Ltd,EAF,1900.0,1387.0,693.5
P100000120089,2023,Angang Lianzhong Stainless Steel Co Ltd,EAF,1900.0,1387.0,693.5
P100000120089,2024,Angang Lianzhong Stainless Steel Co Ltd,EAF,1900.0,1387.0,693.5
P100000120089,2025,Angang Lianzhong Stainless Steel Co Ltd,EAF,1900.0,1387.0,693.5
P100000120089,2026,Angang Lianzhong Stainless Steel Co Ltd,EAF,1900.0,1387.0,693.5
P100000120089,2027,Angang Lianzhong Stainless Steel Co Ltd,EAF,1900.0,1387.0,693.5
P100000120089,2028,Angang Lianzhong Stainless Steel Co Ltd,EAF,1900.0,1387.0,693.5
P100000120089,2029,Angang Lianzhong Stainless Steel Co Ltd,EAF,1900.0,1387.0,693.5
P100000120089,2030,Angang Lianzhong Stainless Steel Co Ltd,EAF,1900.0,1387.0,693.5
P100000120091,2020,Heping Yueshen Steel Industry Co Ltd,EAF,1400.0,1022.0,511.0
P100000120091,2021,Heping Yueshen Steel Industry Co Ltd,EAF,1400.0,1022.0,511.0
P100000120091,2022,Heping Yueshen Steel Industry Co Ltd,EAF,1400.0,1022.0,511.0
P100000120091,2023,Heping Yueshen Steel Industry Co Ltd,EAF,1400.0,1022.0,511.0
P100000120091,2024,Heping Yueshen Steel Industry Co Ltd,EAF,1400.0,1022.0,511.0
P100000120091,2025,Heping Yueshen Steel Industry Co Ltd,EAF,1400.0,1022.0,511.0
P100000120091,2026,Heping Yueshen Steel Industry Co Ltd,EAF,1400.0,1022.0,511.0
P100000120091,2027,Heping Yueshen Steel Industry Co Ltd,EAF,1400.0,1022.0,511.0
